District,Crop,Year,Season,Area,Temperature,Rainfall,Yield
AHMEDNAGAR,Tur,2001-01-01,Kharif,16700.0,23.5085,151.875,0.3233532934131736
AHMEDNAGAR,Tur,2002-01-01,Kharif,14600.0,23.65239,124.05,0.3904109589041096
AHMEDNAGAR,Tur,2003-01-01,Kharif,9000.0,23.707798,127.425,0.3333333333333333
AKOLA,Tur,2001-01-01,Kharif,46800.0,27.150816,178.65,0.8888888888888888
AKOLA,Tur,2002-01-01,Kharif,46500.0,27.332598,280.80002,0.9053763440860216
AKOLA,Tur,2003-01-01,Kharif,51000.0,27.049385,187.075,0.8529411764705882
AMRAVATI,Tur,2001-01-01,Kharif,95500.0,26.614136,182.525,0.8743455497382199
AMRAVATI,Tur,2002-01-01,Kharif,93300.0,26.882261,257.275,0.9528403001071812
AMRAVATI,Tur,2003-01-01,Kharif,97500.0,26.703156,235.8,0.8851282051282051
AURANGABAD,Tur,2001-01-01,Kharif,32700.0,25.06251,147.65,0.2782874617737003
AURANGABAD,Tur,2002-01-01,Kharif,40000.0,25.094404,209.42499,0.29
AURANGABAD,Tur,2003-01-01,Kharif,38000.0,25.104836,187.15,0.3526315789473684
BEED,Tur,2001-01-01,Kharif,44300.0,25.732687,139.75,0.2528216704288939
BEED,Tur,2002-01-01,Kharif,49100.0,25.818192,167.82501,0.35030549898167
BEED,Tur,2003-01-01,Kharif,44900.0,25.960487,142.65,0.2249443207126948
BHANDARA,Tur,2001-01-01,Kharif,5700.0,26.898373,227.775,1.0701754385964912
BHANDARA,Tur,2002-01-01,Kharif,7100.0,27.636929,290.72498,0.8873239436619719
BHANDARA,Tur,2003-01-01,Kharif,7300.0,27.366695,354.35,0.9452054794520548
BULDHANA,Tur,2001-01-01,Kharif,58300.0,25.80179,175.65001,0.6723842195540308
BULDHANA,Tur,2002-01-01,Kharif,57400.0,25.806593,249.875,0.7125435540069687
BULDHANA,Tur,2003-01-01,Kharif,59500.0,25.639313,225.15001,0.6957983193277311
CHANDRAPUR,Tur,2001-01-01,Kharif,27400.0,27.329597,270.075,0.791970802919708
CHANDRAPUR,Tur,2002-01-01,Kharif,26800.0,27.993324,244.40001,0.3395522388059701
CHANDRAPUR,Tur,2003-01-01,Kharif,26400.0,27.72986,279.375,0.6590909090909091
DHULE,Tur,2001-01-01,Kharif,7300.0,26.557852,127.025,0.2328767123287671
DHULE,Tur,2002-01-01,Kharif,9200.0,26.615772,144.05,0.2934782608695652
DHULE,Tur,2003-01-01,Kharif,9500.0,26.570156,153.05,0.4
GADCHIROLI,Tur,2001-01-01,Kharif,1500.0,26.48563,414.4,1.0666666666666669
GADCHIROLI,Tur,2002-01-01,Kharif,1700.0,27.342838,337.45,0.8823529411764706
GADCHIROLI,Tur,2003-01-01,Kharif,2300.0,27.041058,440.925,0.9565217391304348
GONDIA,Tur,2001-01-01,Kharif,4000.0,26.694218,255.47499,1.075
GONDIA,Tur,2002-01-01,Kharif,4100.0,27.360415,280.525,0.8780487804878049
GONDIA,Tur,2003-01-01,Kharif,4400.0,27.137135,394.225,0.9545454545454546
HINGOLI,Tur,2001-01-01,Kharif,24700.0,25.839544,175.99998,0.7773279352226721
HINGOLI,Tur,2002-01-01,Kharif,27000.0,25.818176,241.04999,0.6814814814814815
HINGOLI,Tur,2003-01-01,Kharif,25500.0,25.794886,187.75,0.8823529411764706
JALGAON,Tur,2001-01-01,Kharif,28400.0,27.421701,119.0,0.6338028169014085
JALGAON,Tur,2002-01-01,Kharif,24900.0,27.188541,241.65,0.7309236947791165
JALGAON,Tur,2003-01-01,Kharif,25800.0,27.017769,188.97499,0.7093023255813954
JALNA,Tur,2001-01-01,Kharif,42100.0,25.561897,144.225,0.5558194774346793
JALNA,Tur,2002-01-01,Kharif,48000.0,25.560987,198.55,0.63125
JALNA,Tur,2003-01-01,Kharif,47900.0,25.531845,175.9,0.3987473903966597
KOLHAPUR,Tur,2001-01-01,Kharif,2400.0,23.458605,93.775,0.3333333333333333
KOLHAPUR,Tur,2002-01-01,Kharif,2600.0,23.633583,126.575005,0.3846153846153846
KOLHAPUR,Tur,2003-01-01,Kharif,2800.0,23.65561,129.525,0.2857142857142857
LATUR,Tur,2001-01-01,Kharif,72800.0,24.95246,152.25,0.6717032967032966
LATUR,Tur,2002-01-01,Kharif,71000.0,24.78274,173.4,0.6211267605633802
LATUR,Tur,2003-01-01,Kharif,70800.0,25.185097,174.7,0.6384180790960452
NAGPUR,Tur,2001-01-01,Kharif,50600.0,27.20106,162.275,1.1126482213438735
NAGPUR,Tur,2002-01-01,Kharif,50000.0,27.787487,194.82501,0.534
NAGPUR,Tur,2003-01-01,Kharif,51100.0,27.407093,269.90002,0.6320939334637965
NANDED,Tur,2001-01-01,Kharif,52300.0,26.653744,165.35,0.762906309751434
NANDED,Tur,2002-01-01,Kharif,54900.0,26.64457,208.65,1.0091074681238617
NANDED,Tur,2003-01-01,Kharif,55800.0,26.713018,175.9,0.7992831541218638
NANDURBAR,Tur,2001-01-01,Kharif,23600.0,26.715412,147.475,0.3093220338983051
NANDURBAR,Tur,2002-01-01,Kharif,23100.0,26.817703,164.0,0.2727272727272727
NANDURBAR,Tur,2003-01-01,Kharif,23400.0,26.669514,143.825,0.3376068376068376
NASHIK,Tur,2001-01-01,Kharif,8900.0,23.424408,258.4,0.4269662921348314
NASHIK,Tur,2002-01-01,Kharif,9000.0,23.685085,292.575,0.7555555555555555
NASHIK,Tur,2003-01-01,Kharif,8500.0,23.574387,236.54999,0.4117647058823529
OSMANABAD,Tur,2001-01-01,Kharif,68100.0,24.853628,128.8,0.5154185022026432
OSMANABAD,Tur,2002-01-01,Kharif,81500.0,24.55763,156.125,0.5411042944785276
OSMANABAD,Tur,2003-01-01,Kharif,75000.0,24.876085,150.95,0.1933333333333333
PARBHANI,Tur,2001-01-01,Kharif,52700.0,26.330667,152.85,0.540796963946869
PARBHANI,Tur,2002-01-01,Kharif,56600.0,26.34552,180.62498,0.5901060070671378
PARBHANI,Tur,2003-01-01,Kharif,57900.0,26.420853,153.275,0.4576856649395509
PUNE,Tur,2001-01-01,Kharif,4100.0,23.885225,327.7,0.4878048780487805
PUNE,Tur,2002-01-01,Kharif,3800.0,24.05951,334.475,0.4736842105263157
PUNE,Tur,2003-01-01,Kharif,3300.0,24.030302,316.625,0.6666666666666666
RAIGAD,Tur,2001-01-01,Kharif,1000.0,23.504765,491.875,0.4
RAIGAD,Tur,2002-01-01,Kharif,1000.0,23.911804,455.8,0.5
RAIGAD,Tur,2003-01-01,Kharif,1000.0,23.759007,475.55,0.5
RATNAGIRI,Tur,2001-01-01,Kharif,600.0,24.257586,509.9,0.5
RATNAGIRI,Tur,2002-01-01,Kharif,600.0,24.587051,528.25,0.5
RATNAGIRI,Tur,2003-01-01,Kharif,600.0,24.440527,555.85,0.5
SANGLI,Tur,2001-01-01,Kharif,9700.0,24.071472,98.05,0.3195876288659793
SANGLI,Tur,2002-01-01,Kharif,10700.0,23.949308,118.475,0.3831775700934579
SANGLI,Tur,2003-01-01,Kharif,5800.0,24.214478,96.325005,0.293103448275862
SATARA,Tur,2001-01-01,Kharif,6500.0,22.54963,134.15,0.3230769230769231
SATARA,Tur,2002-01-01,Kharif,6700.0,22.521412,134.77501,0.3880597014925373
SATARA,Tur,2003-01-01,Kharif,3800.0,22.7287,151.575,0.2894736842105263
SOLAPUR,Tur,2001-01-01,Kharif,6700.0,26.507269,78.05,0.208955223880597
SOLAPUR,Tur,2002-01-01,Kharif,13300.0,26.25896,89.15,0.3458646616541353
SOLAPUR,Tur,2003-01-01,Kharif,7700.0,26.448502,95.725006,0.0909090909090909
THANE,Tur,2001-01-01,Kharif,2700.0,26.376938,290.025,0.4444444444444444
THANE,Tur,2002-01-01,Kharif,2700.0,26.798729,242.275,0.5185185185185185
THANE,Tur,2003-01-01,Kharif,2700.0,26.570229,312.225,0.4814814814814814
WARDHA,Tur,2001-01-01,Kharif,56100.0,27.464863,180.55,1.1729055258467025
WARDHA,Tur,2002-01-01,Kharif,54200.0,27.881083,222.675,1.4760147601476017
WARDHA,Tur,2003-01-01,Kharif,52600.0,27.595839,253.95,1.4011406844106464
WASHIM,Tur,2001-01-01,Kharif,40100.0,26.054533,163.25,0.7905236907730673
WASHIM,Tur,2002-01-01,Kharif,41200.0,26.11212,285.975,0.9320388349514565
WASHIM,Tur,2003-01-01,Kharif,44300.0,25.928381,223.95001,0.8893905191873589
YAVATMAL,Tur,2001-01-01,Kharif,123000.0,26.935684,179.8,1.2682926829268293
YAVATMAL,Tur,2002-01-01,Kharif,127300.0,27.12827,267.92502,1.01413982717989
YAVATMAL,Tur,2003-01-01,Kharif,130200.0,26.976465,247.475,0.804147465437788
AHMEDNAGAR,Cotton,2001-01-01,Kharif,13500.0,23.5085,151.875,1.237037037037037
AHMEDNAGAR,Cotton,2002-01-01,Kharif,10800.0,23.65239,124.05,0.7685185185185185
AHMEDNAGAR,Cotton,2003-01-01,Kharif,10400.0,23.707798,127.425,1.0
AKOLA,Cotton,2001-01-01,Kharif,231400.0,27.150816,178.65,0.8422644770959378
AKOLA,Cotton,2002-01-01,Kharif,222900.0,27.332598,280.80002,1.0076267384477344
AKOLA,Cotton,2003-01-01,Kharif,217700.0,27.049385,187.075,0.9141019751952228
AMRAVATI,Cotton,2001-01-01,Kharif,324600.0,26.614136,182.525,0.6999383857054837
AMRAVATI,Cotton,2002-01-01,Kharif,279000.0,26.882261,257.275,0.8734767025089606
AMRAVATI,Cotton,2003-01-01,Kharif,266600.0,26.703156,235.8,1.0213803450862715
AURANGABAD,Cotton,2001-01-01,Kharif,141300.0,25.06251,147.65,0.6475583864118896
AURANGABAD,Cotton,2002-01-01,Kharif,135500.0,25.094404,209.42499,0.5571955719557196
AURANGABAD,Cotton,2003-01-01,Kharif,168000.0,25.104836,187.15,0.8553571428571428
BEED,Cotton,2001-01-01,Kharif,108000.0,25.732687,139.75,0.7388888888888889
BEED,Cotton,2002-01-01,Kharif,78800.0,25.818192,167.82501,0.7068527918781726
BEED,Cotton,2003-01-01,Kharif,94900.0,25.960487,142.65,0.6290832455216017
BULDHANA,Cotton,2001-01-01,Kharif,220100.0,25.80179,175.65001,0.898682417083144
BULDHANA,Cotton,2002-01-01,Kharif,168300.0,25.806593,249.875,1.156862745098039
BULDHANA,Cotton,2003-01-01,Kharif,183100.0,25.639313,225.15001,1.3921354451119607
CHANDRAPUR,Cotton,2001-01-01,Kharif,61500.0,27.329597,270.075,0.7040650406504065
CHANDRAPUR,Cotton,2002-01-01,Kharif,56100.0,27.993324,244.40001,0.7593582887700535
CHANDRAPUR,Cotton,2003-01-01,Kharif,51800.0,27.72986,279.375,1.2374517374517375
DHULE,Cotton,2001-01-01,Kharif,66800.0,26.557852,127.025,0.7290419161676647
DHULE,Cotton,2002-01-01,Kharif,66400.0,26.615772,144.05,0.5391566265060241
DHULE,Cotton,2003-01-01,Kharif,66500.0,26.570156,153.05,1.3578947368421053
GADCHIROLI,Cotton,2002-01-01,Kharif,400.0,27.342838,337.45,1.0
GADCHIROLI,Cotton,2003-01-01,Kharif,100.0,27.041058,440.925,1.0
HINGOLI,Cotton,2001-01-01,Kharif,93500.0,25.839544,175.99998,1.041711229946524
HINGOLI,Cotton,2002-01-01,Kharif,83200.0,25.818176,241.04999,1.0432692307692308
HINGOLI,Cotton,2003-01-01,Kharif,72500.0,25.794886,187.75,1.543448275862069
JALGAON,Cotton,2001-01-01,Kharif,403000.0,27.421701,119.0,1.2528535980148885
JALGAON,Cotton,2002-01-01,Kharif,384000.0,27.188541,241.65,1.2192708333333333
JALGAON,Cotton,2003-01-01,Kharif,383600.0,27.017769,188.97499,1.3420229405630866
JALNA,Cotton,2001-01-01,Kharif,157200.0,25.561897,144.225,1.1666666666666667
JALNA,Cotton,2002-01-01,Kharif,144900.0,25.560987,198.55,1.3802622498274673
JALNA,Cotton,2003-01-01,Kharif,156900.0,25.531845,175.9,1.0433397068196304
KOLHAPUR,Cotton,2001-01-01,Kharif,100.0,23.458605,93.775,1.0
KOLHAPUR,Cotton,2002-01-01,Kharif,100.0,23.633583,126.575005,1.0
KOLHAPUR,Cotton,2003-01-01,Kharif,100.0,23.65561,129.525,1.0
LATUR,Cotton,2001-01-01,Kharif,17100.0,24.95246,152.25,0.8421052631578947
LATUR,Cotton,2002-01-01,Kharif,9800.0,24.78274,173.4,0.6020408163265306
LATUR,Cotton,2003-01-01,Kharif,5600.0,25.185097,174.7,0.8928571428571429
NAGPUR,Cotton,2001-01-01,Kharif,80100.0,27.20106,162.275,0.9575530586766542
NAGPUR,Cotton,2002-01-01,Kharif,73400.0,27.787487,194.82501,0.9700272479564032
NAGPUR,Cotton,2003-01-01,Kharif,74300.0,27.407093,269.90002,1.5531628532974429
NANDED,Cotton,2001-01-01,Kharif,245700.0,26.653744,165.35,0.671957671957672
NANDED,Cotton,2002-01-01,Kharif,214600.0,26.64457,208.65,0.5876048462255359
NANDED,Cotton,2003-01-01,Kharif,215500.0,26.713018,175.9,0.9415313225058004
NANDURBAR,Cotton,2001-01-01,Kharif,33100.0,26.715412,147.475,0.6978851963746223
NANDURBAR,Cotton,2002-01-01,Kharif,34200.0,26.817703,164.0,0.6666666666666666
NANDURBAR,Cotton,2003-01-01,Kharif,36200.0,26.669514,143.825,1.1298342541436464
NASHIK,Cotton,2001-01-01,Kharif,6200.0,23.424408,258.4,0.6290322580645161
NASHIK,Cotton,2002-01-01,Kharif,5400.0,23.685085,292.575,1.2407407407407407
NASHIK,Cotton,2003-01-01,Kharif,7200.0,23.574387,236.54999,0.6527777777777778
OSMANABAD,Cotton,2001-01-01,Kharif,2500.0,24.853628,128.8,0.36
OSMANABAD,Cotton,2002-01-01,Kharif,1900.0,24.55763,156.125,0.631578947368421
OSMANABAD,Cotton,2003-01-01,Kharif,1800.0,24.876085,150.95,0.6111111111111112
PARBHANI,Cotton,2001-01-01,Kharif,203400.0,26.330667,152.85,0.883480825958702
PARBHANI,Cotton,2002-01-01,Kharif,193500.0,26.34552,180.62498,1.007235142118863
PARBHANI,Cotton,2003-01-01,Kharif,184700.0,26.420853,153.275,1.2279371954520844
PUNE,Cotton,2001-01-01,Kharif,200.0,23.885225,327.7,2.0
PUNE,Cotton,2002-01-01,Kharif,200.0,24.05951,334.475,2.5
PUNE,Cotton,2003-01-01,Kharif,100.0,24.030302,316.625,3.0
SANGLI,Cotton,2001-01-01,Kharif,3100.0,24.071472,98.05,0.967741935483871
SANGLI,Cotton,2002-01-01,Kharif,3000.0,23.949308,118.475,1.1
SANGLI,Cotton,2003-01-01,Kharif,600.0,24.214478,96.325005,1.5
SATARA,Cotton,2001-01-01,Kharif,3100.0,22.54963,134.15,0.967741935483871
SATARA,Cotton,2002-01-01,Kharif,3600.0,22.521412,134.77501,1.1388888888888888
SATARA,Cotton,2003-01-01,Kharif,600.0,22.7287,151.575,1.5
SOLAPUR,Cotton,2001-01-01,Kharif,4000.0,26.507269,78.05,0.875
SOLAPUR,Cotton,2002-01-01,Kharif,4400.0,26.25896,89.15,1.7045454545454546
SOLAPUR,Cotton,2003-01-01,Kharif,1100.0,26.448502,95.725006,1.3636363636363635
WARDHA,Cotton,2001-01-01,Kharif,150000.0,27.464863,180.55,0.908
WARDHA,Cotton,2002-01-01,Kharif,136200.0,27.881083,222.675,0.9493392070484582
WARDHA,Cotton,2003-01-01,Kharif,111300.0,27.595839,253.95,1.3468104222821204
WASHIM,Cotton,2001-01-01,Kharif,98200.0,26.054533,163.25,0.90020366598778
WASHIM,Cotton,2002-01-01,Kharif,86000.0,26.11212,285.975,0.8441860465116279
WASHIM,Cotton,2003-01-01,Kharif,75200.0,25.928381,223.95001,0.8311170212765957
YAVATMAL,Cotton,2001-01-01,Kharif,437000.0,26.935684,179.8,0.6993135011441648
YAVATMAL,Cotton,2002-01-01,Kharif,403300.0,27.12827,267.92502,0.7775849243739152
YAVATMAL,Cotton,2003-01-01,Kharif,376000.0,26.976465,247.475,1.0167553191489362
AHMEDNAGAR,Gram,2001-01-01,Rabi,60000.0,22.59251,0.1,0.5516666666666666
AHMEDNAGAR,Gram,2002-01-01,Rabi,64500.0,22.563309,1.475,0.4108527131782946
AHMEDNAGAR,Gram,2003-01-01,Rabi,50900.0,23.271942,0.45,0.4027504911591356
AKOLA,Gram,2001-01-01,Rabi,22300.0,23.991787,3.9,0.57847533632287
AKOLA,Gram,2002-01-01,Rabi,24300.0,24.096485,3.3249998,0.6625514403292181
AKOLA,Gram,2003-01-01,Rabi,26200.0,24.106833,4.3,0.6335877862595419
AMRAVATI,Gram,2001-01-01,Rabi,33500.0,23.765795,2.1499999,0.8686567164179104
AMRAVATI,Gram,2002-01-01,Rabi,35900.0,23.896835,2.8999999,0.754874651810585
AMRAVATI,Gram,2003-01-01,Rabi,37300.0,23.754444,3.9,0.7694369973190348
AURANGABAD,Gram,2001-01-01,Rabi,41500.0,23.375244,0.45,0.5012048192771085
AURANGABAD,Gram,2002-01-01,Rabi,40800.0,23.331074,3.925,0.5784313725490197
AURANGABAD,Gram,2003-01-01,Rabi,36700.0,23.893724,1.15,0.4059945504087193
BEED,Gram,2001-01-01,Rabi,25200.0,24.915344,0.125,0.4285714285714285
BEED,Gram,2002-01-01,Rabi,21100.0,24.65283,7.225,0.4928909952606635
BEED,Gram,2003-01-01,Rabi,24300.0,25.33367,1.25,0.345679012345679
BHANDARA,Gram,2001-01-01,Rabi,3800.0,23.475061,5.85,0.5526315789473685
BHANDARA,Gram,2002-01-01,Rabi,3800.0,23.982994,3.9750004,0.4210526315789473
BHANDARA,Gram,2003-01-01,Rabi,4000.0,23.322912,8.15,0.55
BULDHANA,Gram,2001-01-01,Rabi,23800.0,23.842958,1.65,0.6050420168067226
BULDHANA,Gram,2002-01-01,Rabi,29300.0,23.641523,4.4,0.5460750853242321
BULDHANA,Gram,2003-01-01,Rabi,33100.0,23.582315,8.075,0.4229607250755287
CHANDRAPUR,Gram,2001-01-01,Rabi,11700.0,25.087143,3.6,0.4102564102564102
CHANDRAPUR,Gram,2002-01-01,Rabi,10500.0,25.55312,4.075,0.3428571428571428
CHANDRAPUR,Gram,2003-01-01,Rabi,22600.0,25.027641,7.4500003,0.3982300884955752
DHULE,Gram,2001-01-01,Rabi,8400.0,24.08066,1.525,0.5476190476190477
DHULE,Gram,2002-01-01,Rabi,11300.0,24.107014,3.2,0.6637168141592921
DHULE,Gram,2003-01-01,Rabi,14300.0,24.43739,3.675,0.6993006993006993
GADCHIROLI,Gram,2001-01-01,Rabi,2300.0,24.959444,6.725,0.6086956521739131
GADCHIROLI,Gram,2002-01-01,Rabi,2200.0,25.463116,3.9750001,0.4090909090909091
GADCHIROLI,Gram,2003-01-01,Rabi,2300.0,25.107012,11.450001,0.4347826086956521
GONDIA,Gram,2001-01-01,Rabi,2600.0,22.966478,5.2,0.4615384615384615
GONDIA,Gram,2002-01-01,Rabi,2800.0,23.185368,4.675,0.3928571428571428
GONDIA,Gram,2003-01-01,Rabi,3000.0,22.454956,15.825001,0.5333333333333333
HINGOLI,Gram,2001-01-01,Rabi,21600.0,24.411768,0.95,0.5740740740740741
HINGOLI,Gram,2002-01-01,Rabi,26500.0,24.147161,3.775,0.7018867924528301
HINGOLI,Gram,2003-01-01,Rabi,28900.0,24.302933,1.475,0.5397923875432526
JALGAON,Gram,2001-01-01,Rabi,27100.0,23.953218,0.95000005,0.9003690036900369
JALGAON,Gram,2002-01-01,Rabi,35200.0,24.225775,5.925,1.0198863636363635
JALGAON,Gram,2003-01-01,Rabi,45000.0,24.369259,2.3750002,0.8533333333333334
JALNA,Gram,2001-01-01,Rabi,15600.0,23.265373,0.17500001,0.6410256410256411
JALNA,Gram,2002-01-01,Rabi,15700.0,23.18688,4.75,0.7579617834394905
JALNA,Gram,2003-01-01,Rabi,13100.0,23.617231,2.3,0.5190839694656488
KOLHAPUR,Gram,2001-01-01,Rabi,13900.0,24.910692,0.325,0.6258992805755396
KOLHAPUR,Gram,2002-01-01,Rabi,12100.0,25.19895,0.675,0.7768595041322314
KOLHAPUR,Gram,2003-01-01,Rabi,11700.0,25.769176,1.0500001,0.7863247863247863
LATUR,Gram,2001-01-01,Rabi,36900.0,23.889046,0.0,0.4634146341463415
LATUR,Gram,2002-01-01,Rabi,36500.0,23.901789,8.35,0.4657534246575342
LATUR,Gram,2003-01-01,Rabi,40200.0,24.40207,1.825,0.4203980099502487
NAGPUR,Gram,2001-01-01,Rabi,30300.0,24.165306,6.475,0.6402640264026402
NAGPUR,Gram,2002-01-01,Rabi,31900.0,24.381344,4.95,0.5579937304075235
NAGPUR,Gram,2003-01-01,Rabi,37700.0,23.825449,10.1,0.636604774535809
NANDED,Gram,2001-01-01,Rabi,26000.0,25.463612,0.075,0.6076923076923076
NANDED,Gram,2002-01-01,Rabi,33200.0,25.072765,4.6,0.6837349397590361
NANDED,Gram,2003-01-01,Rabi,37500.0,25.256664,3.025,0.688
NANDURBAR,Gram,2001-01-01,Rabi,9800.0,23.454239,0.0,0.4591836734693877
NANDURBAR,Gram,2002-01-01,Rabi,11500.0,23.866488,1.3499999,0.6434782608695652
