District,year,season,temperature_2m_mean,rain_sum
AHMEDNAGAR,1997,Autumn,22.646185,49.5
AHMEDNAGAR,1997,Kharif,23.998425,112.45
AHMEDNAGAR,1997,Rabi,21.448471,9.375
AHMEDNAGAR,1997,Summer,27.62493,8.75
AHMEDNAGAR,1998,Autumn,21.5951,66.5
AHMEDNAGAR,1998,Kharif,24.131676,152.775
AHMEDNAGAR,1998,Rabi,21.875889,0.075
AHMEDNAGAR,1998,Summer,30.340569,9.9
AHMEDNAGAR,1999,Autumn,21.669949,61.45
AHMEDNAGAR,1999,Kharif,23.217793,132.09999
AHMEDNAGAR,1999,Rabi,22.058489,2.2250001
AHMEDNAGAR,1999,Summer,28.774296,13.599999
AHMEDNAGAR,2000,Autumn,23.618786,37.7
AHMEDNAGAR,2000,Kharif,23.32336,166.25
AHMEDNAGAR,2000,Rabi,21.695917,6.325
AHMEDNAGAR,2000,Summer,28.668404,24.1
AHMEDNAGAR,2001,Autumn,22.49781,43.45
AHMEDNAGAR,2001,Kharif,23.5085,151.875
AHMEDNAGAR,2001,Rabi,22.59251,0.1
AHMEDNAGAR,2001,Summer,28.743412,4.95
AHMEDNAGAR,2002,Autumn,23.252415,25.449999
AHMEDNAGAR,2002,Kharif,23.65239,124.05
AHMEDNAGAR,2002,Rabi,22.563309,1.475
AHMEDNAGAR,2002,Summer,29.668694,6.5
AHMEDNAGAR,2003,Autumn,23.883556,5.8500004
AHMEDNAGAR,2003,Kharif,23.707798,127.425
AHMEDNAGAR,2003,Rabi,23.271942,0.45
AHMEDNAGAR,2003,Summer,29.611942,5.25
AHMEDNAGAR,2004,Autumn,21.559565,47.7
AHMEDNAGAR,2004,Kharif,23.32155,169.675
AHMEDNAGAR,2004,Rabi,23.082682,0.125
AHMEDNAGAR,2004,Summer,29.126083,23.5
AHMEDNAGAR,2005,Autumn,21.631424,29.65
AHMEDNAGAR,2005,Kharif,23.8679,177
AHMEDNAGAR,2005,Rabi,22.101446,3.6000001
AHMEDNAGAR,2005,Summer,29.407398,10.15
AHMEDNAGAR,2006,Autumn,22.427801,55.899998
AHMEDNAGAR,2006,Kharif,23.447224,215.675
AHMEDNAGAR,2006,Rabi,22.681137,1.25
AHMEDNAGAR,2006,Summer,29.333706,24.25
AHMEDNAGAR,2007,Autumn,22.63612,8.450001
AHMEDNAGAR,2007,Kharif,23.806892,162.625
AHMEDNAGAR,2007,Rabi,23.080957,0.075
AHMEDNAGAR,2007,Summer,29.396408,11.65
AHMEDNAGAR,2008,Autumn,22.599222,51.95
AHMEDNAGAR,2008,Kharif,23.551321,143.1
AHMEDNAGAR,2008,Rabi,22.263203,8.774999
AHMEDNAGAR,2008,Summer,28.781588,4.75
AHMEDNAGAR,2009,Autumn,22.148422,84.600006
AHMEDNAGAR,2009,Kharif,24.205187,181.8
AHMEDNAGAR,2009,Rabi,23.337294,2
AHMEDNAGAR,2009,Summer,29.561506,18.2
AHMEDNAGAR,2010,Autumn,22.408192,97.799995
AHMEDNAGAR,2010,Kharif,23.828484,183.4
AHMEDNAGAR,2010,Rabi,22.789513,1.35
AHMEDNAGAR,2010,Summer,30.949438,6.25
AHMEDNAGAR,2011,Autumn,23.299566,37.050003
AHMEDNAGAR,2011,Kharif,23.235405,143.65001
AHMEDNAGAR,2011,Rabi,22.493326,0.025
AHMEDNAGAR,2011,Summer,29.200142,6.1000004
AHMEDNAGAR,2012,Autumn,22.85606,73.5
AHMEDNAGAR,2012,Kharif,24.186844,70.1
AHMEDNAGAR,2012,Rabi,22.839066,0.1
AHMEDNAGAR,2012,Summer,29.457592,6.6
AHMEDNAGAR,2013,Autumn,22.217451,16.050001
AHMEDNAGAR,2013,Kharif,22.695732,248.45001
AHMEDNAGAR,2013,Rabi,22.926455,2.45
AHMEDNAGAR,2013,Summer,29.814829,1.2
AHMEDNAGAR,2014,Autumn,23.413078,33.05
AHMEDNAGAR,2014,Kharif,24.344185,136.65
AHMEDNAGAR,2014,Rabi,21.453548,10.5
AHMEDNAGAR,2014,Summer,29.601467,4.2
AHMEDNAGAR,2015,Autumn,24.157333,42.15
AHMEDNAGAR,2015,Kharif,24.361046,115.925
AHMEDNAGAR,2015,Rabi,22.149162,10.35
AHMEDNAGAR,2015,Summer,29.480625,11.65
AHMEDNAGAR,2016,Autumn,21.708683,19.9
AHMEDNAGAR,2016,Kharif,23.61269,200.875
AHMEDNAGAR,2016,Rabi,23.321098,3.6750002
AHMEDNAGAR,2016,Summer,30.274479,6.7000003
AHMEDNAGAR,2017,Autumn,22.256771,42.35
AHMEDNAGAR,2017,Kharif,23.68035,179.675
AHMEDNAGAR,2017,Rabi,22.644566,1.0250001
AHMEDNAGAR,2017,Summer,29.719501,9.6
AHMEDNAGAR,2018,Autumn,24.057219,12.999999
AHMEDNAGAR,2018,Kharif,23.57213,123.15
AHMEDNAGAR,2018,Rabi,22.416204,1.9
AHMEDNAGAR,2018,Summer,29.832737,6.15
AHMEDNAGAR,2019,Autumn,22.13826,142.15001
AHMEDNAGAR,2019,Kharif,24.089409,199.975
AHMEDNAGAR,2019,Rabi,22.196598,6.275
AHMEDNAGAR,2019,Summer,30.098907,0.55
AKOLA,1997,Autumn,24.25961,89.15001
AKOLA,1997,Kharif,27.581894,205.75
AKOLA,1997,Rabi,22.661102,17.6
AKOLA,1997,Summer,32.34553,2.25
AKOLA,1998,Autumn,24.16545,38
AKOLA,1998,Kharif,28.071949,215.6
AKOLA,1998,Rabi,22.422007,15.025001
AKOLA,1998,Summer,34.4659,1
AKOLA,1999,Autumn,23.848404,29.4
AKOLA,1999,Kharif,26.449055,172.175
AKOLA,1999,Rabi,23.140648,9.525
AKOLA,1999,Summer,33.52213,2.4
AKOLA,2000,Autumn,25.966131,0.1
AKOLA,2000,Kharif,26.887518,212.15
AKOLA,2000,Rabi,22.738033,9.45
AKOLA,2000,Summer,32.80555,40.199997
AKOLA,2001,Autumn,24.348974,72.95
AKOLA,2001,Kharif,27.150816,178.65
AKOLA,2001,Rabi,23.991787,3.9
AKOLA,2001,Summer,33.661606,4.9
AKOLA,2002,Autumn,25.096107,26.150002
AKOLA,2002,Kharif,27.332598,280.80002
AKOLA,2002,Rabi,24.096485,3.3249998
AKOLA,2002,Summer,33.936134,1.8
AKOLA,2003,Autumn,25.367786,3.8000002
AKOLA,2003,Kharif,27.049385,187.075
AKOLA,2003,Rabi,24.106833,4.3
AKOLA,2003,Summer,33.65311,2.3500001
AKOLA,2004,Autumn,25.002361,22.45
AKOLA,2004,Kharif,27.495235,189
AKOLA,2004,Rabi,24.567045,2.7749999
AKOLA,2004,Summer,34.14528,2.8500001
AKOLA,2005,Autumn,23.548096,41.05
AKOLA,2005,Kharif,27.88082,203.32498
AKOLA,2005,Rabi,23.852034,7.275
AKOLA,2005,Summer,34.11329,0.2
AKOLA,2006,Autumn,25.256355,5.8
AKOLA,2006,Kharif,27.256708,228.3
AKOLA,2006,Rabi,23.81445,20.500002
AKOLA,2006,Summer,32.688637,9.9
AKOLA,2007,Autumn,24.6012,7.45
AKOLA,2007,Kharif,27.65188,219.775
AKOLA,2007,Rabi,24.36371,0.425
AKOLA,2007,Summer,33.61608,1.6500001
AKOLA,2008,Autumn,25.664303,13.8
AKOLA,2008,Kharif,27.026417,171.77501
AKOLA,2008,Rabi,24.109062,4.825
AKOLA,2008,Summer,33.468113,0.70000005
AKOLA,2009,Autumn,24.230331,82.55
AKOLA,2009,Kharif,28.256237,197.125
AKOLA,2009,Rabi,25.657476,6.475
AKOLA,2009,Summer,34.294403,1.65
AKOLA,2010,Autumn,26.531906,53.55
AKOLA,2010,Kharif,27.867691,295.975
AKOLA,2010,Rabi,24.474964,4.6499996
AKOLA,2010,Summer,34.99647,0
AKOLA,2011,Autumn,25.93391,0.55
AKOLA,2011,Kharif,27.010002,219.05
AKOLA,2011,Rabi,23.716757,1.9000001
AKOLA,2011,Summer,33.135742,2.1000001
AKOLA,2012,Autumn,24.742405,20
AKOLA,2012,Kharif,27.600616,267.15
AKOLA,2012,Rabi,23.761412,0.725
AKOLA,2012,Summer,33.655624,1.05
AKOLA,2013,Autumn,24.179798,44
AKOLA,2013,Kharif,25.936262,343.625
AKOLA,2013,Rabi,24.007612,3.8500001
AKOLA,2013,Summer,34.227486,1.6
AKOLA,2014,Autumn,26.120178,16.650002
AKOLA,2014,Kharif,28.606253,167.85
AKOLA,2014,Rabi,23.234583,25.95
AKOLA,2014,Summer,33.421688,0.8000001
AKOLA,2015,Autumn,27.241093,2.25
AKOLA,2015,Kharif,27.916136,167.375
AKOLA,2015,Rabi,23.492638,20.725
AKOLA,2015,Summer,32.920918,26.35
AKOLA,2016,Autumn,24.052578,15
AKOLA,2016,Kharif,27.348404,281.42502
AKOLA,2016,Rabi,24.931206,3.1999998
AKOLA,2016,Summer,34.77394,3.15
AKOLA,2017,Autumn,24.647327,36.75
AKOLA,2017,Kharif,27.992437,221.225
AKOLA,2017,Rabi,24.05992,1.2499999
AKOLA,2017,Summer,34.46994,2.3000002
AKOLA,2018,Autumn,25.422705,0.75000006
AKOLA,2018,Kharif,27.621883,221.225
AKOLA,2018,Rabi,23.38645,4.3
AKOLA,2018,Summer,34.401573,3.4499998
AKOLA,2019,Autumn,24.703472,45.45
AKOLA,2019,Kharif,28.572964,257.975
AKOLA,2019,Rabi,23.663143,3.35
AKOLA,2019,Summer,35.263466,0.55
AURANGABAD,1997,Autumn,23.990206,40.4
AURANGABAD,1997,Kharif,25.602623,146.025
AURANGABAD,1997,Rabi,22.361488,16.675001
AURANGABAD,1997,Summer,29.541336,10.049999
AURANGABAD,1998,Autumn,23.109812,38.95
AURANGABAD,1998,Kharif,25.959461,178.025
AURANGABAD,1998,Rabi,22.671051,0.4
AURANGABAD,1998,Summer,32.37958,4.2
AURANGABAD,1999,Autumn,22.773067,33.8
AURANGABAD,1999,Kharif,24.714521,174.35
AURANGABAD,1999,Rabi,22.981155,5.0250006
AURANGABAD,1999,Summer,31.073551,5.2000003
AURANGABAD,2000,Autumn,24.73727,6.65
AURANGABAD,2000,Kharif,24.934788,183.72499
AURANGABAD,2000,Rabi,22.21883,5.4
AURANGABAD,2000,Summer,30.265884,60.100002
AURANGABAD,2001,Autumn,23.195171,54.85
AURANGABAD,2001,Kharif,25.06251,147.65
AURANGABAD,2001,Rabi,23.375244,0.45
AURANGABAD,2001,Summer,30.672474,3.5
AURANGABAD,2002,Autumn,23.802387,33.249996
AURANGABAD,2002,Kharif,25.094404,209.42499
AURANGABAD,2002,Rabi,23.331074,3.925
AURANGABAD,2002,Summer,31.444572,4.25
AURANGABAD,2003,Autumn,24.189327,6.1000004
AURANGABAD,2003,Kharif,25.104836,187.15
AURANGABAD,2003,Rabi,23.893724,1.15
AURANGABAD,2003,Summer,31.187283,3
AURANGABAD,2004,Autumn,22.572693,40.6
AURANGABAD,2004,Kharif,25.037043,182.875
AURANGABAD,2004,Rabi,23.862295,1.1750001
AURANGABAD,2004,Summer,31.152435,9.099999
AURANGABAD,2005,Autumn,22.879665,14.299999
AURANGABAD,2005,Kharif,25.536547,165.375
AURANGABAD,2005,Rabi,23.009722,2.525
AURANGABAD,2005,Summer,31.334929,2.8000002
AURANGABAD,2006,Autumn,23.426243,22.45
AURANGABAD,2006,Kharif,25.029982,250.40001
AURANGABAD,2006,Rabi,23.524319,3.4499998
AURANGABAD,2006,Summer,31.176142,9.099999
AURANGABAD,2007,Autumn,23.567352,3.8500001
AURANGABAD,2007,Kharif,25.364769,218.175
AURANGABAD,2007,Rabi,23.79403,0.125
AURANGABAD,2007,Summer,31.227814,6.05
AURANGABAD,2008,Autumn,23.752785,53.7
AURANGABAD,2008,Kharif,25.080696,214.29999
AURANGABAD,2008,Rabi,23.340515,2.9999998
AURANGABAD,2008,Summer,30.783596,2.45
AURANGABAD,2009,Autumn,22.809975,120.600006
AURANGABAD,2009,Kharif,25.959091,218.175
AURANGABAD,2009,Rabi,24.417812,1.9749999
AURANGABAD,2009,Summer,31.630081,3.2
AURANGABAD,2010,Autumn,23.798998,78.25
AURANGABAD,2010,Kharif,25.484802,207.375
AURANGABAD,2010,Rabi,23.537186,4.025
AURANGABAD,2010,Summer,32.78565,2.7
AURANGABAD,2011,Autumn,24.061485,20.05
AURANGABAD,2011,Kharif,24.920864,162.8
AURANGABAD,2011,Rabi,23.07791,0.5
AURANGABAD,2011,Summer,30.970516,5.3999996
AURANGABAD,2012,Autumn,23.65547,31.3
AURANGABAD,2012,Kharif,25.423105,142.775
AURANGABAD,2012,Rabi,23.567486,0.42499998
AURANGABAD,2012,Summer,31.352283,5.8500004
AURANGABAD,2013,Autumn,23.029198,44.75
AURANGABAD,2013,Kharif,24.052523,307.65
AURANGABAD,2013,Rabi,23.80497,1.475
AURANGABAD,2013,Summer,31.808056,1.55
AURANGABAD,2014,Autumn,24.620586,22.45
AURANGABAD,2014,Kharif,26.095634,153.09999
AURANGABAD,2014,Rabi,22.236202,19.699999
AURANGABAD,2014,Summer,31.199024,1.6500001
AURANGABAD,2015,Autumn,25.654541,18.800001
AURANGABAD,2015,Kharif,25.981888,141.475
AURANGABAD,2015,Rabi,23.276783,9.1
AURANGABAD,2015,Summer,31.339388,10.5
AURANGABAD,2016,Autumn,22.695202,27.650002
AURANGABAD,2016,Kharif,25.240974,201.375
AURANGABAD,2016,Rabi,24.521965,1.8000001
AURANGABAD,2016,Summer,32.39251,4.9
AURANGABAD,2017,Autumn,23.854717,38.9
AURANGABAD,2017,Kharif,25.425789,182.95
AURANGABAD,2017,Rabi,24.09636,0.85
AURANGABAD,2017,Summer,32.33777,11
AURANGABAD,2018,Autumn,25.829865,5.9000006
AURANGABAD,2018,Kharif,25.357546,216
AURANGABAD,2018,Rabi,23.507965,0.47500002
AURANGABAD,2018,Summer,32.3057,2.4
AURANGABAD,2019,Autumn,23.517698,105.3
AURANGABAD,2019,Kharif,25.905144,237.675
AURANGABAD,2019,Rabi,23.45363,2.1
AURANGABAD,2019,Summer,32.652283,0.25
BEED,1997,Autumn,24.638273,110.6
BEED,1997,Kharif,26.775267,74.475
BEED,1997,Rabi,23.300692,17.25
BEED,1997,Summer,30.531788,13
BEED,1998,Autumn,23.437462,27.100002
BEED,1998,Kharif,26.276064,168.875
BEED,1998,Rabi,23.706516,0.325
BEED,1998,Summer,33.178883,4.9
BEED,1999,Autumn,23.483679,33.399998
BEED,1999,Kharif,25.321129,139.975
BEED,1999,Rabi,24.085108,4.5750003
BEED,1999,Summer,31.591244,18.55
BEED,2000,Autumn,25.636106,2.8500001
BEED,2000,Kharif,25.303982,219.3
BEED,2000,Rabi,23.572845,5.7
BEED,2000,Summer,31.521635,23.55
BEED,2001,Autumn,24.499651,46.100002
BEED,2001,Kharif,25.732687,139.75
BEED,2001,Rabi,24.915344,0.125
BEED,2001,Summer,31.818409,3.45
BEED,2002,Autumn,24.907387,17
BEED,2002,Kharif,25.818192,167.82501
BEED,2002,Rabi,24.65283,7.225
BEED,2002,Summer,32.508327,5.5000005
BEED,2003,Autumn,25.684769,8.200001
BEED,2003,Kharif,25.960487,142.65
BEED,2003,Rabi,25.33367,1.25
BEED,2003,Summer,32.61409,4.75
BEED,2004,Autumn,23.651516,39.8
BEED,2004,Kharif,25.689682,142.975
BEED,2004,Rabi,25.398027,0.575
BEED,2004,Summer,32.187183,13.900001
BEED,2005,Autumn,23.249434,44.85
BEED,2005,Kharif,26.100872,163.25
BEED,2005,Rabi,24.327497,5.7500005
BEED,2005,Summer,32.47913,5.8
BEED,2006,Autumn,24.277752,21.050001
BEED,2006,Kharif,25.745527,197.225
BEED,2006,Rabi,24.5706,10.349999
BEED,2006,Summer,32.16703,16.55
BEED,2007,Autumn,24.75834,12.150001
BEED,2007,Kharif,25.9398,162.225
BEED,2007,Rabi,25.367104,0
BEED,2007,Summer,32.353897,6.15
BEED,2008,Autumn,24.347813,46
BEED,2008,Kharif,25.969276,159.875
BEED,2008,Rabi,24.34031,7.2750006
